hostname,st_spectype,st_teff,st_lum,st_rad,spectral_class,log_temp
Kepler-718,,6191.0,0.134,1.3,,3.791760804012905
CoRoT-4,,6190.0,0.185,1.17,,3.791690649020118
Kepler-393,,6189.0,0.524,1.38,,3.791620482692814
HD 19994,F8 V,6188.0,0.58,1.8,F,3.79155030502733
Kepler-1276,,6188.0,0.22,1.21,,3.79155030502733
Kepler-885,,6187.0,0.417,1.35,,3.7914801160200007
Kepler-350,,6186.0,0.428,1.53,,3.79140991566716
HN Peg,G0 V,6186.0,0.06,1.01,G,3.79140991566716
Kepler-769,,6186.0,0.179,1.28,,3.79140991566716
Kepler-703,,6185.0,0.067,1.27,,3.7913397039651393
Kepler-631,,6185.0,0.389,1.33,,3.7913397039651393
Kepler-1428,,6184.0,0.944,1.36,,3.7912694809102687
Kepler-355,,6184.0,0.195,1.07,,3.7912694809102687
Kepler-401,,6184.0,0.566,1.29,,3.7912694809102687
Kepler-1773,,6183.0,0.405,1.3,,3.7911992464988753
KOI-94,,6182.0,0.479,1.52,,3.791129000727286
Kepler-1496,,6182.0,0.304,1.27,,3.791129000727286
WASP-71,F8,6180.0,0.768,2.14,F,3.790988475088816
WASP-38,F8 V,6180.0,0.453,1.52,F,3.790988475088816
HD 169830,F7 V,6179.26,0.662,1.94,F,3.7909364690759975
TOI-1744,,6179.0,0.232,1.14,,3.7909181952145783
Kepler-1274,,6179.0,0.798,2.17,,3.7909181952145783
HD 149026,G0,6179.0,0.48,1.41,G,3.7909181952145783
Kepler-1524,,6179.0,-0.006,1.25,,3.7909181952145783
Kepler-1201,,6177.0,0.044,1.24,,3.7907776013376937
TOI-3071,,6177.0,0.417,1.31,,3.7907776013376937
Kepler-348,,6177.0,0.433,1.36,,3.7907776013376937
HD 205739,F7 V,6176.0,0.36,1.33,F,3.7907072873276797
Kepler-1181,,6176.0,0.472,1.3,,3.7907072873276797
KIC 3558849,,6175.0,0.405,1.01,,3.7906369619317033
Kepler-342,,6175.0,0.453,1.47,,3.7906369619317033
Kepler-1283,,6175.0,0.927,1.25,,3.7906369619317033
Kepler-1812,,6174.0,0.28,1.1,,3.7905666251460763
Kepler-79,,6174.0,0.342,1.3,,3.7905666251460763
Kepler-635,,6174.0,0.735,1.51,,3.7905666251460763
Pr0201,,6174.0,0.245,1.15,,3.7905666251460763
TOI-480,,6174.0,0.462,1.49,,3.7905666251460763
Kepler-915,,6173.0,0.506,1.38,,3.79049627696711
Kepler-1900,,6173.0,0.22,1.04,,3.79049627696711
Kepler-217,,6171.0,0.754,1.8,,3.7903555464143865
Kepler-1408,,6170.0,0.579,1.35,,3.7902851640332416
Kepler-1285,,6170.0,0.481,1.28,,3.7902851640332416
Kepler-645,,6170.0,0.451,1.21,,3.7902851640332416
Kepler-655,,6170.0,0.324,1.24,,3.7902851640332416
WASP-94 A,F8,6170.0,0.51,1.48,F,3.7902851640332416
TOI-1670,,6170.0,0.4,1.32,,3.7902851640332416
HD 22946,F7/F8V,6169.0,0.209,1.12,F,3.7902147702439795
Kepler-1323,,6169.0,0.295,1.4,,3.7902147702439795
Kepler-361,,6169.0,0.459,1.34,,3.7902147702439795
Kepler-214,,6169.0,0.511,1.35,,3.7902147702439795
K2-34,F,6168.0,0.4,1.42,F,3.7901443650429005
HD 179949,F8 V,6168.0,0.301,1.27,F,3.7901443650429005
Kepler-1354,,6168.0,0.302,1.24,,3.7901443650429005
Kepler-1617,,6167.0,0.341,1.22,,3.7900739484263046
Kepler-1931,,6167.0,0.474,1.22,,3.7900739484263046
Kepler-924,,6167.0,0.314,1.23,,3.7900739484263046
HR 810,G0V,6167.0,0.253,1.13,G,3.7900739484263046
Kepler-1589,,6166.0,0.329,1.25,,3.7900035203904894
Kepler-541,,6166.0,0.755,2.06,,3.7900035203904894
TIC 241249530,,6166.0,0.408,1.4,,3.7900035203904894
Kepler-1093,,6166.0,0.46,1.2,,3.7900035203904894
Kepler-275,,6165.0,0.449,1.38,,3.7899330809317506
HD 40979,F8 V,6165.0,0.291,1.21,F,3.7899330809317506
Kepler-136,,6165.0,0.467,1.35,,3.7899330809317506
NGC 2682 YBP 401,F9 V,6165.0,0.289,1.22,F,3.7899330809317506
Kepler-1833,,6164.0,0.437,1.45,,3.7898626300463816
Kepler-873,,6163.0,0.134,1.27,,3.7897921677306754
Kepler-814,,6162.0,0.669,1.22,,3.7897216939809217
Kepler-1382,,6161.0,0.572,1.72,,3.7896512087934098
Kepler-606,,6161.0,0.254,1.22,,3.7896512087934098
Kepler-1875,,6161.0,0.407,0.86,,3.7896512087934098
Kepler-435,,6161.0,1.129,3.21,,3.7896512087934098
Kepler-1830,,6160.0,0.631,2.05,,3.7895807121644256
Kepler-904,,6160.0,0.154,1.25,,3.7895807121644256
Kepler-750,,6160.0,0.344,1.23,,3.7895807121644256
Kepler-788,,6159.0,0.336,1.23,,3.7895102040902544
Kepler-1472,,6159.0,0.42,1.25,,3.7895102040902544
Kepler-1508,,6158.0,0.537,1.22,,3.789439684567179
HAT-P-16,F8,6158.0,0.294,1.24,F,3.789439684567179
Kepler-1621,,6158.0,0.478,1.24,,3.789439684567179
Kepler-264,,6158.0,0.689,1.55,,3.789439684567179
Kepler-1620,,6157.0,0.293,1.23,,3.7893691535914815
Kepler-1708,,6157.0,0.182,1.12,,3.7893691535914815
ups And,F8 V,6156.77,0.525,1.56,F,3.789352929846707
TOI-4495,,6156.0,0.367,1.34,,3.789298611159441
Kepler-1224,,6155.0,0.293,1.22,,3.7892280572673354
Kepler-620,,6155.0,0.341,1.22,,3.7892280572673354
Kepler-909,,6154.0,0.273,1.23,,3.7891574919114395
K2-232,,6154.0,0.238,1.16,,3.7891574919114395
Kepler-381,,6152.0,0.514,1.57,,3.7890163267933747
Kepler-1641,,6152.0,0.131,1.19,,3.7890163267933747
Kepler-997,,6150.0,0.496,1.56,,3.788875115775417
WASP-99,F8,6150.0,0.543,1.64,F,3.788875115775417
Kepler-117,F8 V,6150.0,0.538,1.61,F,3.788875115775417
HD 197037,F7 V,6150.0,0.239,1.1,F,3.788875115775417
Kepler-1714,,6150.0,0.76,2.09,,3.788875115775417
TOI-5126,F V,6150.0,0.299,1.24,F,3.788875115775417
Kepler-1639,,6150.0,0.145,1.18,,3.788875115775417
WASP-187,F,6150.0,0.967,2.83,F,3.788875115775417
Kepler-1445,,6150.0,0.34,1.26,,3.788875115775417
Kepler-1248,,6149.0,0.276,1.21,,3.7888044930446485
Kepler-1655,G0 V,6148.0,0.143,1.03,G,3.7887338588277073
HATS-68,,6147.0,0.592,1.75,,3.7886632131208575
KIC 5437945,,6146.0,0.641,1.26,,3.7885925559203595
Kepler-972,,6146.0,0.191,1.22,,3.7885925559203595
TOI-1052,,6146.0,0.384,1.26,,3.7885925559203595
Kepler-1514,,6145.0,0.328,1.29,,3.788521887222473
Kepler-1002,,6144.0,0.501,1.57,,3.7884512070234555
Kepler-1271,,6143.0,0.219,1.23,,3.788380515319563
Kepler-116,,6142.0,0.421,1.45,,3.78830981210705
Kepler-1225,,6140.0,0.333,1.19,,3.788168371141168
WASP-32,,6140.0,0.193,0.95,,3.788168371141168
Kepler-982,,6139.0,0.511,1.29,,3.788097633380297
Kepler-1395,,6138.0,0.277,1.23,,3.788026884095804
K2-373,,6138.0,0.432,1.49,,3.788026884095804
Kepler-1632,,6137.0,0.406,1.19,,3.787956123283932
HD 52265,G0V,6136.0,0.297,1.32,G,3.7878853509409245
HD 8535,G0 V,6136.0,0.333,1.19,G,3.7878853509409245
Kepler-1551,,6136.0,0.244,1.22,,3.7878853509409245
HD 205158,,6133.55,0.653,1.88,,3.787711909943528
Kepler-1346,,6133.0,-0.008,1.21,,3.787672964687493
Kepler-356,,6133.0,0.461,1.33,,3.787672964687493
Kepler-1288,,6132.0,0.302,1.29,,3.7876021461823375
Kepler-1609,,6132.0,0.484,1.27,,3.7876021461823375
Kepler-1672,,6131.95,0.179,1.09,,3.787598604953925
HD 31253,F8,6130.0,0.517,1.75,F,3.787460474518415
AF Lep,F8 V,6130.0,0.29,1.25,F,3.787460474518415
Kepler-1300,,6130.0,0.636,1.79,,3.787460474518415
Kepler-741,,6129.0,0.332,1.24,,3.78738962135211
Kepler-1256,,6129.0,0.428,1.36,,3.78738962135211
HD 332231,,6128.0,0.315,1.27,,3.7873187566245474
Kepler-1056,,6127.0,0.227,1.2,,3.787247880331954
Kepler-1398,,6126.0,0.312,1.18,,3.787176992470554
HD 144899,,6126.0,0.537,1.65,,3.787176992470554
HATS-24,F V,6125.0,0.19,1.12,F,3.78710609303657
HD 25171,F8 V,6125.0,0.276,1.23,F,3.78710609303657
Kepler-502,,6125.0,0.349,1.22,,3.78710609303657
Qatar-10,F7 V,6124.0,0.3,1.25,F,3.7870351820262234
HD 153950,F8 V,6124.0,0.346,1.28,F,3.7870351820262234
Kepler-1836,,6123.0,0.016,0.99,,3.786964259435733
HD 11506,G0 V,6123.0,0.337,1.24,G,3.786964259435733
HD 11506,G0 V,6123.0,0.337,1.34,G,3.786964259435733
Kepler-535,,6123.0,0.341,1.27,,3.786964259435733
HD 159243,G0 V,6123.0,0.114,1.12,G,3.786964259435733
Kepler-1847,,6122.0,0.099,0.96,,3.7868933252613157
Kepler-1896,,6122.0,0.174,1.0,,3.7868933252613157
Kepler-619,,6122.0,-0.04,0.96,,3.7868933252613157
HD 75898,F8 V,6122.0,0.46,1.55,F,3.7868933252613157
HD 75898,F8 V,6122.0,0.495,1.55,F,3.7868933252613157
HAT-P-46,,6120.0,0.391,1.4,,3.7867514221455614
Kepler-1921,,6120.0,0.806,2.0,,3.7867514221455614
HD 28109,F8/G0 V,6120.0,0.456,1.45,F,3.7867514221455614
WASP-159,F9,6120.0,0.678,2.11,F,3.7867514221455614
KIC 10068024,,6118.4,0.496,1.57,,3.786637866259987
Kepler-1352,,6118.0,0.263,1.16,,3.78660947264866
KIC 9663113,,6117.21,0.792,2.22,,3.786553389812128
HD 75289,G0,6117.0,0.312,1.23,G,3.7865384804978026
Kepler-624,,6117.0,0.291,1.18,,3.7865384804978026
TOI-1408,F8 V,6117.0,0.471,1.53,F,3.7865384804978026
HD 187085,G0 V,6117.0,2.13,1.27,G,3.7865384804978026
Kepler-401,,6117.0,0.566,1.33,,3.7865384804978026
Kepler-1607,,6116.0,0.709,1.21,,3.7864674767402824
Kepler-883,,6116.0,0.296,1.09,,3.7864674767402824
Kepler-312,,6115.0,0.598,1.47,,3.7863964613723042
HD 457,,6114.04,0.316,1.28,,3.7863282756924006
Kepler-1084,,6113.0,0.253,1.28,,3.78625439578978
Kepler-919,,6113.0,0.167,1.21,,3.78625439578978
Kepler-507,,6113.0,0.326,1.32,,3.78625439578978
Kepler-1094,,6112.0,0.178,1.21,,3.7861833455676335
Kepler-520,,6112.0,0.51,1.09,,3.7861833455676335
Kepler-805,,6112.0,0.541,1.65,,3.7861833455676335
TOI-6054,,6112.0,0.514,1.61,,3.7861833455676335
WASP-85 A,G5 V,6112.0,-0.071,0.94,G,3.7861833455676335
Kepler-911,,6112.0,0.707,1.99,,3.7861833455676335
WASP-1,F7 V,6110.0,0.441,1.47,F,3.786041210242554
WASP-103,F8 V,6110.0,0.413,1.44,F,3.786041210242554
WASP-169,F8,6110.0,0.789,2.01,F,3.786041210242554
Kepler-1003,,6109.0,0.282,1.17,,3.7859701251320095
Kepler-364,,6108.0,0.351,1.28,,3.7858990283843834
Kepler-127,,6106.0,0.407,1.36,,3.785756799962643
Kepler-514,,6106.0,0.353,1.44,,3.785756799962643
Kepler-907,,6106.0,0.378,1.38,,3.785756799962643
Kepler-276,,6105.0,-0.089,1.05,,3.7856856682809013
Kepler-187,,6105.0,0.493,1.29,,3.7856856682809013
Kepler-408,,6104.0,0.283,1.23,,3.785614524946824
Kepler-1876,,6104.0,0.429,1.48,,3.785614524946824
Kepler-1106,,6104.0,0.159,1.17,,3.785614524946824
KELT-6,F8,6102.0,0.493,1.73,F,3.785472203306388
HD 50499,G1 V,6102.0,0.376,1.35,G,3.785472203306388
HD 231701,F8 V,6101.0,0.47,1.53,F,3.7854010249923875
TOI-2207,,6101.0,0.484,1.56,,3.7854010249923875
Kepler-1452,,6101.0,0.721,2.06,,3.7854010249923875
Kepler-852,,6100.0,0.827,1.16,,3.785329835010767
TOI-2641,F9 V,6100.0,0.34,1.34,F,3.785329835010767
WASP-75,F9,6100.0,0.304,1.26,F,3.785329835010767
WASP-54,F9,6100.0,0.575,1.76,F,3.785329835010767
K2-308,,6100.0,0.283,1.24,,3.785329835010767
TOI-3919,,6100.0,0.336,1.32,,3.785329835010767
WASP-78,,6100.0,0.763,2.46,,3.785329835010767
Kepler-58,,6100.0,-0.004,1.08,,3.785329835010767
Kepler-58,,6099.0,-0.004,1.13,,3.785258633357701
HD 50499,G1 V,6099.0,0.376,1.42,G,3.785258633357701
Kepler-1557,,6099.0,0.119,1.17,,3.785258633357701
Kepler-886,,6098.0,0.042,1.16,,3.785187420029362
Kepler-1433,,6097.0,0.247,1.19,,3.78511619502192
HD 136118,F7 V,6097.0,0.569,1.68,F,3.78511619502192
HD 224538,F8/G0 IV/V,6097.0,0.47,1.54,F,3.78511619502192
Kepler-637,,6096.0,0.382,2.56,,3.785044958331544
HAT-P-35,,6096.0,0.383,1.44,,3.785044958331544
TOI-4127,F V,6096.0,0.316,1.29,F,3.785044958331544
Kepler-1267,,6096.0,0.003,1.2,,3.785044958331544
TOI-4562,F7 V,6096.0,0.253,1.15,F,3.785044958331544
K2-98,,6095.0,0.489,1.57,,3.784973709954401
Kepler-937,,6095.0,0.281,1.22,,3.784973709954401
TOI-257,,6095.0,0.636,1.87,,3.784973709954401
HD 43691,G0,6093.0,0.5,1.6,G,3.784831178124469
Kepler-1724,,6092.0,0.055,0.94,,3.784759894664005
Kepler-208,,6092.0,0.309,1.31,,3.784759894664005
Kepler-1103,,6092.0,0.522,1.15,,3.784759894664005
HD 151450,,6091.98,0.231,1.17,,3.784758468875447
HD 209458,,6091.0,0.232,1.18,,3.7846885995014214
Kepler-216,,6091.0,0.518,1.26,,3.7846885995014214
KIC 10525077,,6091.0,0.129,1.01,,3.7846885995014214
CoRoT-19,F9 V,6090.0,0.544,1.65,F,3.784617292632875
Kepler-402,,6090.0,0.203,1.26,,3.784617292632875
Kepler-403,,6090.0,0.644,1.33,,3.784617292632875
HD 156846,G0 V,6090.0,0.697,1.9,G,3.784617292632875
Kepler-135,,6090.0,0.448,1.28,,3.784617292632875
Kepler-1819,,6090.0,0.086,1.07,,3.784617292632875
CoRoT-6,F9 V,6090.0,0.026,1.03,F,3.784617292632875
Kepler-1025,,6089.0,0.287,1.13,,3.7845459740545224
Kepler-123,,6089.0,0.41,1.26,,3.7845459740545224
Kepler-194,,6089.0,0.043,1.03,,3.7845459740545224
Kepler-347,,6088.0,0.342,1.01,,3.7844746437625165
Kepler-1485,,6087.0,0.28,1.12,,3.7844033017530085
Kepler-529,,6087.0,0.207,1.14,,3.7844033017530085
HAT-P-29,F8,6087.0,0.272,1.3,F,3.7844033017530085
Kepler-1349,,6086.0,0.343,1.28,,3.7843319480221482
Kepler-1755,,6086.0,0.274,0.92,,3.7843319480221482
TOI-128,,6086.0,0.189,1.13,,3.7843319480221482
Kepler-53,,6085.0,0.036,0.96,,3.784260582566084
Kepler-1736,,6085.0,0.402,0.97,,3.784260582566084
WASP-28,F8,6084.0,0.15,1.08,F,3.7841892053809607
Kepler-1119,,6083.0,0.486,1.17,,3.7841178164629232
Kepler-105,,6082.0,0.082,1.03,,3.7840464158081133
Kepler-1591,,6082.0,0.434,1.16,,3.7840464158081133
Kepler-268,,6081.0,0.318,1.27,,3.7839750034126713
Kepler-1165,,6080.0,0.552,1.18,,3.783903579272735
KOI-351,,6080.0,0.269,1.2,,3.783903579272735
Kepler-1289,,6080.0,0.16,1.17,,3.783903579272735
HAT-P-40,,6080.0,0.778,1.94,,3.783903579272735
Kepler-826,,6079.0,0.349,1.15,,3.783832143384441
WASP-193,F9,6078.0,0.274,1.24,F,3.7837606957439243
Kepler-1547,,6078.0,0.222,1.18,,3.7837606957439243
Kepler-529,,6078.0,0.207,1.19,,3.7837606957439243
HAT-P-58,,6078.0,0.456,1.53,,3.7837606957439243
Kepler-1111,,6077.0,-0.09,1.15,,3.7836892363473162
Kepler-1180,,6077.0,0.417,1.14,,3.7836892363473162
Kepler-140,,6077.0,0.251,1.29,,3.7836892363473162
Kepler-144,,6075.0,0.282,1.24,,3.7835462822703496
Kepler-634,,6075.0,0.421,1.24,,3.7835462822703496
WASP-24,,6075.0,0.331,1.42,,3.7835462822703496
Kepler-1278,,6074.0,0.366,1.16,,3.7834747875822465
Kepler-1857,,6074.0,0.205,1.01,,3.7834747875822465
Kepler-59,,6074.0,0.324,0.94,,3.7834747875822465
Kepler-128,,6072.0,0.575,1.66,,3.783331762887424
HD 103891,F9,6072.0,0.786,2.22,F,3.783331762887424
Kepler-1723,,6072.0,0.034,1.01,,3.783331762887424
Kepler-1769,,6071.0,0.215,1.3,,3.7832602328729488
HATS-26,F,6071.0,0.704,2.04,F,3.7832602328729488
Kepler-1584,,6069.0,0.252,1.13,,3.7831171374904673
EPIC 211945201,G0,6069.0,0.373,1.39,G,3.7831171374904673
Kepler-557,,6068.0,0.728,1.16,,3.783045572114693
Kepler-913,,6068.0,-0.282,1.8,,3.783045572114693
HD 74156,G0,6068.0,0.401,1.51,G,3.783045572114693
Kepler-1061,,6067.0,0.088,1.07,,3.782973994944048
HD 208487,G2 V,6067.0,0.244,1.2,G,3.782973994944048
Kepler-270,,6067.0,0.312,1.46,,3.782973994944048
KIC 9663113,,6065.0,0.792,1.03,,3.782830805202592
Kepler-201,,6065.0,0.348,1.23,,3.782830805202592
HAT-P-31,,6065.0,0.433,1.39,,3.782830805202592
Kepler-175,,6064.0,0.194,1.01,,3.782759192623997
HD 8574,F8,6064.0,0.376,1.38,F,3.782759192623997
Kepler-1511,,6064.0,0.838,1.29,,3.782759192623997
Kepler-328,,6064.0,0.44,1.06,,3.782759192623997
K2-177,,6063.0,0.342,1.21,,3.7826875682349663
Kepler-1831,,6063.0,-0.045,1.01,,3.7826875682349663
Kepler-1738,,6063.0,-0.005,1.0,,3.7826875682349663
Kepler-602,,6062.0,0.326,1.13,,3.7826159320316033
K2-107,F9 IV,6061.0,0.464,1.81,F,3.78254428401001
Kepler-1734,,6061.0,0.144,0.97,,3.78254428401001
K2-74,,6060.0,0.06,0.98,,3.782472624166286
HATS-42,,6060.0,0.425,1.48,,3.782472624166286
HD 35759,G0,6060.0,0.537,1.76,G,3.782472624166286
Kepler-1403,,6060.0,0.372,1.15,,3.782472624166286
Kepler-1787,,6060.0,-0.098,0.93,,3.782472624166286
Kepler-509,,6060.0,0.233,1.2,,3.782472624166286
TOI-4087,,6060.0,0.176,1.11,,3.782472624166286
K2-259,,6059.0,0.167,1.13,,3.7824009524965296
Kepler-839,,6058.0,0.437,1.31,,3.782329268996837
Kepler-998,,6058.0,0.193,1.18,,3.782329268996837
TOI-4791,,6058.0,0.38,1.41,,3.782329268996837
HD 26161,,6057.62,0.393,1.46,,3.782302026164332
NGTS-23,F9 V,6057.0,0.283,1.24,F,3.7822575736633017
Kepler-1927,,6056.0,0.774,2.48,,3.7821858664920165
WASP-106,F9,6055.0,0.422,1.31,F,3.782114147479071
TOI-1181,,6054.0,0.642,1.96,,3.782042416620554
Kepler-379,,6054.0,0.28,1.31,,3.782042416620554
Kepler-360,,6053.0,-0.132,1.06,,3.781970673912552
Kepler-1590,,6053.0,0.063,1.16,,3.781970673912552
Kepler-983,,6052.0,0.15,1.08,,3.781898919351149
Kepler-1751,,6052.0,0.036,0.97,,3.781898919351149
Kepler-1212,,6051.0,0.211,1.15,,3.781827152932428
Kepler-1213,,6050.0,0.395,1.21,,3.781755374652469
Kepler-1768,,6050.0,0.287,1.57,,3.781755374652469
TOI-1338 A,F8,6050.0,0.329,1.31,F,3.781755374652469
WASP-124,F9,6050.0,0.149,1.02,F,3.781755374652469
OGLE-TR-56,F8 V,6050.0,0.35,1.74,F,3.781755374652469
TIC 172900988 Aa,F9,6050.0,0.671,1.38,F,3.781755374652469
HATS-31,,6050.0,0.619,1.87,,3.781755374652469
Kepler-122,,6050.0,0.27,1.22,,3.781755374652469
WASP-166,F9 V,6050.0,0.283,1.29,F,3.781755374652469
Kepler-1818,,6047.0,0.261,1.13,,3.7815399686059417
Kepler-1473,,6046.0,0.194,1.09,,3.781468142841798
Kepler-1969,,6046.0,-0.181,1.01,,3.781468142841798
Kepler-1890,,6046.0,0.267,1.4,,3.781468142841798
Kepler-380,,6045.0,0.278,1.22,,3.7813963051967905
Kepler-490,,6045.0,0.365,1.12,,3.7813963051967905
K2-196,,6045.0,0.644,1.54,,3.7813963051967905
Kepler-228,,6043.0,0.111,1.01,,3.7812525942484565
Kepler-43,F8 V,6041.0,0.326,1.42,F,3.7811088357294667
HD 135625,G3 IV/V,6040.64,0.344,1.36,G,3.7810829541416138
HD 23596,F8,6040.0,0.458,1.53,F,3.7810369386211318
Kepler-1947,,6040.0,0.111,1.69,,3.7810369386211318
CoRoT-25,F9,6040.0,0.141,1.19,F,3.7810369386211318
WASP-94 B,F9,6040.0,0.351,1.35,F,3.7810369386211318
HD 17156,G5,6040.0,0.39,1.55,G,3.7810369386211318
Kepler-956,,6040.0,0.052,1.15,,3.7810369386211318
WASP-117,F9,6040.0,0.274,1.22,F,3.7810369386211318
Kepler-84,,6039.0,0.212,1.43,,3.780965029608317
TOI-1842,,6039.0,0.695,2.03,,3.780965029608317
Kepler-669,,6038.0,0.358,1.2,,3.7808931086870787
Kepler-830,,6037.0,0.169,1.11,,3.780821175853473
HD 39091,G0 V,6037.0,0.16,1.19,G,3.780821175853473
Kepler-1796,,6036.0,0.118,0.95,,3.7807492311035524
Kepler-824,,6035.0,0.122,1.22,,3.780677274433368
Kepler-906,,6035.0,0.096,1.02,,3.780677274433368
HD 284149 A,,6035.0,0.342,1.36,,3.780677274433368
CoRoT-14,F9 V,6035.0,0.119,1.21,F,3.780677274433368
HD 24085,G0 V,6034.0,0.377,1.41,G,3.7806053058389697
WASP-26,,6034.0,0.287,1.28,,3.7806053058389697
Kepler-346,,6033.0,-0.153,1.02,,3.780533325316404
Kepler-1988,,6033.0,0.582,1.79,,3.780533325316404
Kepler-1943,,6032.0,0.445,0.97,,3.7804613328617176
Kepler-1989,,6032.0,0.279,1.06,,3.7804613328617176
HD 148164,F8,6032.0,0.33,1.34,F,3.7804613328617176
Kepler-1700,,6031.0,0.154,1.09,,3.7803893284709527
Kepler-173,,6031.0,0.074,0.95,,3.7803893284709527
Kepler-84,,6031.0,0.212,1.17,,3.7803893284709527
Kepler-1432,,6031.0,0.449,1.13,,3.7803893284709527
WASP-73,F9,6030.0,0.795,2.55,F,3.780317312140151
WASP-131,G0,6030.0,0.53,1.53,G,3.780317312140151
Kepler-24,,6028.0,0.064,1.1,,3.780173243642594
Kepler-918,,6028.0,-0.018,1.14,,3.780173243642594
Kepler-1949,,6028.0,0.713,1.45,,3.780173243642594
K2-253,,6027.0,-0.077,1.1,,3.7801011914679115
HD 121504,G2 V,6027.0,0.19,1.07,G,3.7801011914679115
Kepler-1397,,6026.0,0.591,1.12,,3.7800291273373383
Kepler-508,,6025.0,0.289,1.25,,3.779957051246906
HD 7449,F9.5 V,6024.0,0.101,0.97,F,3.7798849631926443
Kepler-132,,6023.0,0.211,1.1,,3.7798128631705805
Kepler-274,,6023.0,0.201,1.01,,3.7798128631705805
Kepler-145,,6022.0,0.692,1.85,,3.7797407511767407
Kepler-1581,,6022.0,0.391,1.23,,3.7797407511767407
Kepler-188,,6021.0,0.034,1.14,,3.779668627207148
Kepler-1535,,6021.0,0.165,1.11,,3.779668627207148
Kepler-1915,,6020.0,0.061,1.06,,3.7795964912578244
Kepler-874,,6020.0,0.138,1.13,,3.7795964912578244
Kepler-647,,6020.0,0.418,1.07,,3.7795964912578244
Kepler-1725,,6020.0,0.199,1.08,,3.7795964912578244
TOI-4379,,6020.0,0.637,1.98,,3.7795964912578244
Kepler-1416,,6019.0,0.284,1.15,,3.77952434332479
Kepler-1255,,6018.0,0.307,1.12,,3.7794521834040617
Kepler-1746,,6018.0,0.496,1.29,,3.7794521834040617
Kepler-51,,6018.0,-0.142,0.94,,3.7794521834040617
HD 196067,G1 V,6017.0,0.572,1.73,G,3.779380011491656
TOI-2485,,6016.4,0.52,1.72,,3.7793367025865487
KOI-351,,6015.0,0.25,1.29,,3.7792356316758635
Kepler-1673,,6014.95,0.179,1.13,,3.779232021565415
Kepler-757,,6014.0,0.16,1.13,,3.7791634237644987
HD 145377,G3 V,6014.0,0.193,1.05,G,3.7791634237644987
Kepler-524,,6014.0,0.439,1.1,,3.7791634237644987
Kepler-996,,6014.0,0.242,1.14,,3.7791634237644987
Kepler-1677,,6013.72,0.265,1.25,,3.7791432033977204
HD 80913,,6013.24,0.508,1.65,,3.779108537721369
HD 55696,G0 V,6012.0,0.43,1.52,G,3.7790189719148706
Kepler-341,,6012.0,0.127,1.02,,3.7790189719148706
Kepler-365,,6012.0,0.112,1.05,,3.7790189719148706
Kepler-1189,,6012.0,0.041,1.16,,3.7790189719148706
Kepler-147,,6012.0,0.427,1.47,,3.7790189719148706
TOI-4602,,6011.9,0.197,1.16,,3.779011748061014
Kepler-1031,,6011.0,0.17,1.12,,3.778946727968617
HD 191806,K0,6010.0,0.348,1.4,K,3.7788744720027396
Kepler-1050,,6010.0,0.059,1.13,,3.7788744720027396
WASP-142,F8,6010.0,0.513,1.64,F,3.7788744720027396
HATS-52,,6010.0,0.068,1.05,,3.7788744720027396
Kepler-1407,,6010.0,0.271,1.15,,3.7788744720027396
Kepler-103,,6009.0,0.424,1.49,,3.7788022040132385
TOI-1437,,6008.0,0.285,1.17,,3.778729923996112
HD 77946,F5,6007.0,0.309,1.32,F,3.7786576319473553
Qatar-3,G0 V,6007.0,0.279,1.27,G,3.7786576319473553
TOI-2458,F9-F9.5,6005.0,0.341,1.31,F,3.7785130117389247
Kepler-1613,,6005.0,0.638,1.12,,3.7785130117389247
Kepler-431,,6004.0,0.498,1.09,,3.7784406835712327
Kepler-616,,6004.0,-0.111,0.98,,3.7784406835712327
EPIC 212587672,,6004.0,0.038,0.98,,3.7784406835712327
Kepler-197,,6004.0,0.222,1.12,,3.7784406835712327
Kepler-323,,6004.0,0.151,1.12,,3.7784406835712327
EPIC 212587672,,6004.0,0.006,0.98,,3.7784406835712327
Kepler-132,,6003.0,0.211,1.18,,3.778368343355874
KELT-15,,6003.0,0.412,1.78,,3.778368343355874
Kepler-978,,6002.0,0.143,1.09,,3.7782959910888336
HAT-P-66,G0,6002.0,0.615,1.88,G,3.7782959910888336
Kepler-1824,,6002.0,0.171,1.08,,3.7782959910888336
Kepler-291,,6002.0,0.071,1.02,,3.7782959910888336
KOI-3503,,6001.0,0.3,1.26,,3.7782236267660965
HAT-P-32,,6001.0,0.338,1.37,,3.7782236267660965
TOI-3894,,6000.0,0.419,1.5,,3.778151250383644
Kepler-1823,,6000.0,0.287,1.13,,3.778151250383644
TOI-5398,G V,6000.0,0.117,1.05,G,3.778151250383644
WASP-22,G1 V,6000.0,0.245,1.24,G,3.778151250383644
Kepler-1691,,6000.0,0.175,1.13,,3.778151250383644
Kepler-74,F8 V,6000.0,0.332,1.12,F,3.778151250383644
TOI-4329,,6000.0,0.799,2.31,,3.778151250383644
WASP-168,F9 V,6000.0,0.155,1.12,F,3.778151250383644
Kepler-1085,,6000.0,0.079,1.14,,3.778151250383644
NGC 2682 Sand 1429,F9.5 V,6000.0,0.74,2.13,F,3.778151250383644
Kepler-590,,6000.0,0.477,1.15,,3.778151250383644
WASP-184,G0 V,6000.0,0.501,1.65,G,3.778151250383644
