pl_name,hostname,ra,dec,planet_mass_earth,planet_radius_earth,orbital_period_days,equilibrium_temp_k,discoverymethod,disc_year,stellar_type,distance_parsecs
Kepler-1610 c,Kepler-1610,295.905,45.405,5.020,2.090,44.99,433,Transit,2023,,864.33
Kepler-1007 b,Kepler-1007,295.907,45.809,2.670,1.440,5.19,652,Transit,2016,,365.00
Kepler-1856 b,Kepler-1856,295.909,51.348,3.660,1.734,1.30,1344,Transit,2021,,848.76
Kepler-784 b,Kepler-784,295.921,47.449,3.120,1.580,31.59,688,Transit,2016,,1303.72
Kepler-784 c,Kepler-784,295.921,47.449,3.020,1.550,17.16,844,Transit,2023,,1303.72
Kepler-832 b,Kepler-832,295.926,45.384,4.900,2.060,7.14,965,Transit,2016,,1688.12
Kepler-340 b,Kepler-340,295.933,40.301,6.940,2.530,14.84,1092,Transit,2014,,808.76
Kepler-340 c,Kepler-340,295.933,40.301,11.300,3.370,22.83,946,Transit,2014,,808.76
Kepler-1206 b,Kepler-1206,295.938,49.791,3.330,1.640,1.22,1314,Transit,2016,,762.02
Kepler-119 b,Kepler-119,295.946,42.659,12.600,3.600,2.42,1213,Transit,2014,,702.00
Kepler-119 c,Kepler-119,295.946,42.659,0.721,0.920,4.13,1016,Transit,2014,,702.00
Kepler-1475 b,Kepler-1475,295.948,44.753,8.850,2.920,82.18,441,Transit,2016,,1568.38
Kepler-500 b,Kepler-500,295.951,43.852,7.180,2.580,8.51,909,Transit,2016,,807.48
Kepler-789 b,Kepler-789,295.975,38.947,5.140,2.120,8.64,1419,Transit,2016,,1480.16
Kepler-1533 b,Kepler-1533,295.976,44.713,11.800,3.460,308.55,330,Transit,2016,,966.80
TOI-1064 b,TOI-1064,296.004,-47.562,13.500,2.587,6.44,784,Transit,2022,,68.07
TOI-1064 c,TOI-1064,296.004,-47.562,2.500,2.651,12.23,634,Transit,2022,,68.07
Kepler-452 b,Kepler-452,296.004,44.278,3.290,1.630,384.84,265,Transit,2015,G2,551.73
Kepler-806 b,Kepler-806,296.007,44.854,1.550,1.140,8.09,1089,Transit,2016,,361.90
Kepler-1404 b,Kepler-1404,296.009,50.498,4.700,2.010,15.93,596,Transit,2016,,962.18
Kepler-679 b,Kepler-679,296.021,50.568,9.320,3.010,12.39,677,Transit,2016,,922.24
Kepler-1959 b,Kepler-1959,296.022,44.733,1.570,1.143,6.39,811,Transit,2021,,479.26
Kepler-640 b,Kepler-640,296.032,42.132,7.080,2.560,22.25,609,Transit,2016,,557.79
Kepler-602 b,Kepler-602,296.032,42.142,5.020,2.090,15.29,852,Transit,2016,,1159.31
Kepler-1108 b,Kepler-1108,296.042,45.985,2.730,1.460,4.51,1063,Transit,2016,,767.70
Kepler-910 b,Kepler-910,296.047,42.743,0.477,0.820,2.36,1752,Transit,2016,,400.29
Kepler-1523 b,Kepler-1523,296.054,45.827,3.120,1.580,0.94,1676,Transit,2016,,865.60
Kepler-1607 b,Kepler-1607,296.060,42.656,0.721,0.920,13.65,913,Transit,2016,,1286.10
Kepler-335 b,Kepler-335,296.064,45.429,11.400,3.390,6.56,1290,Transit,2014,,1278.97
Kepler-335 c,Kepler-335,296.064,45.429,9.640,3.070,67.84,592,Transit,2014,,1278.97
Kepler-255 b,Kepler-255,296.064,45.977,3.020,1.550,5.72,971,Transit,2014,,1052.53
Kepler-255 c,Kepler-255,296.064,45.977,9.220,2.990,9.95,807,Transit,2014,,1052.53
Kepler-255 d,Kepler-255,296.064,45.977,2.300,1.320,1.05,1710,Transit,2016,,1052.53
Kepler-1257 b,Kepler-1257,296.076,45.627,2.920,1.520,2.67,1252,Transit,2016,,1105.95
Kepler-817 b,Kepler-817,296.082,39.162,60.200,9.030,3.99,1124,Transit,2016,,1484.46
Kepler-1031 b,Kepler-1031,296.090,48.955,0.590,0.870,1.23,2024,Transit,2016,,682.88
Kepler-1947 b,Kepler-1947,296.104,42.343,1.010,1.010,6.96,1298,Transit,2021,,468.77
Kepler-1502 b,Kepler-1502,296.108,39.320,10.200,3.180,41.71,608,Transit,2016,,1514.02
Kepler-80 b,Kepler-80,296.113,39.979,6.930,2.670,7.05,547,Transit,2012,K5,369.45
Kepler-80 c,Kepler-80,296.113,39.979,6.740,2.740,9.52,495,Transit,2012,K5,369.45
Kepler-80 d,Kepler-80,296.113,39.979,6.750,1.530,3.07,722,Transit,2014,K5,369.45
Kepler-80 e,Kepler-80,296.113,39.979,4.130,1.600,4.65,629,Transit,2014,K5,369.45
Kepler-80 f,Kepler-80,296.113,39.979,1.920,1.210,0.99,1054,Transit,2016,K5,369.45
Kepler-80 g,Kepler-80,296.113,39.979,0.065,1.130,14.65,418,Transit,2017,K5,369.45
Kepler-1724 b,Kepler-1724,296.121,47.921,8.430,2.837,6.45,999,Transit,2021,,1060.77
Kepler-1738 b,Kepler-1738,296.131,47.439,8.370,2.825,7.68,957,Transit,2021,,1302.87
Kepler-396 b,Kepler-396,296.133,48.977,75.500,3.500,42.99,496,Transit,2013,,223.76
Kepler-396 c,Kepler-396,296.133,48.977,17.900,5.300,88.51,390,Transit,2013,,223.76
Kepler-181 b,Kepler-181,296.151,50.096,2.150,1.270,3.14,1041,Transit,2014,,609.28
Kepler-181 c,Kepler-181,296.151,50.096,4.620,1.990,4.30,937,Transit,2014,,609.28
Kepler-1585 b,Kepler-1585,296.159,44.563,3.860,1.790,3.58,1064,Transit,2016,,944.47
Kepler-900 b,Kepler-900,296.177,46.999,4.980,2.080,6.99,716,Transit,2016,,487.53
Kepler-525 b,Kepler-525,296.183,47.359,7.410,2.630,18.68,832,Transit,2016,,992.85
Kepler-1685 b,Kepler-1685,296.188,43.937,7.160,2.577,20.49,625,Transit,2020,,1141.89
Kepler-1497 b,Kepler-1497,296.196,45.634,3.390,1.660,8.74,924,Transit,2016,,1122.00
Kepler-15 b,Kepler-15,296.201,49.140,209.760,10.760,4.94,1251,Transit,2011,,739.41
Kepler-1420 b,Kepler-1420,296.204,42.778,2.180,1.280,6.70,806,Transit,2016,,1054.37
Kepler-1384 b,Kepler-1384,296.215,39.527,4.420,1.940,15.36,608,Transit,2016,,618.00
Kepler-1326 b,Kepler-1326,296.222,39.269,16.300,4.180,42.35,938,Transit,2016,,698.33
